location_id,city,open_soon,postal_code,longitude,latitude,station_id,kw,charger_type,bundesland
illertissensupercharger,Illertissen,0,89257,10.1273890000,48.2188060000,illertissensupercharger,250,super,Bayern
irschenbergsupercharger,Irschenberg,0,83737,11.8980900000,47.8268300000,irschenbergsupercharger,150,super,Bayern
irschenbergsupercharger,Irschenberg,0,83737,11.8980900000,47.8268300000,irschenbergsupercharger,150,super,Bayern
irschenbergsupercharger,Irschenberg,0,83737,11.8980900000,47.8268300000,irschenbergsupercharger,150,super,Bayern
irschenbergsupercharger,Irschenberg,0,83737,11.8980900000,47.8268300000,irschenbergsupercharger,150,super,Bayern
irschenbergsupercharger,Irschenberg,0,83737,11.8980900000,47.8268300000,irschenbergsupercharger,150,super,Bayern
irschenbergsupercharger,Irschenberg,0,83737,11.8980900000,47.8268300000,irschenbergsupercharger,150,super,Bayern
Irxlebendesupercharger,Irxleben,0,39167,11.4848370000,52.1707150000,Irxlebendesupercharger,250,super,Sachsen-Anhalt
Irxlebendesupercharger,Irxleben,0,39167,11.4848370000,52.1707150000,Irxlebendesupercharger,250,super,Sachsen-Anhalt
Irxlebendesupercharger,Irxleben,0,39167,11.4848370000,52.1707150000,Irxlebendesupercharger,250,super,Sachsen-Anhalt
Irxlebendesupercharger,Irxleben,0,39167,11.4848370000,52.1707150000,Irxlebendesupercharger,250,super,Sachsen-Anhalt
Irxlebendesupercharger,Irxleben,0,39167,11.4848370000,52.1707150000,Irxlebendesupercharger,250,super,Sachsen-Anhalt
Irxlebendesupercharger,Irxleben,0,39167,11.4848370000,52.1707150000,Irxlebendesupercharger,250,super,Sachsen-Anhalt
Irxlebendesupercharger,Irxleben,0,39167,11.4848370000,52.1707150000,Irxlebendesupercharger,250,super,Sachsen-Anhalt
Irxlebendesupercharger,Irxleben,0,39167,11.4848370000,52.1707150000,Irxlebendesupercharger,250,super,Sachsen-Anhalt
Irxlebendesupercharger,Irxleben,0,39167,11.4848370000,52.1707150000,Irxlebendesupercharger,250,super,Sachsen-Anhalt
Irxlebendesupercharger,Irxleben,0,39167,11.4848370000,52.1707150000,Irxlebendesupercharger,250,super,Sachsen-Anhalt
Irxlebendesupercharger,Irxleben,0,39167,11.4848370000,52.1707150000,Irxlebendesupercharger,250,super,Sachsen-Anhalt
Irxlebendesupercharger,Irxleben,0,39167,11.4848370000,52.1707150000,Irxlebendesupercharger,250,super,Sachsen-Anhalt
jettingensupercharger,Jettingen,0,89343,10.4404200000,48.4110540000,jettingensupercharger,150,super,Bayern
jettingensupercharger,Jettingen,0,89343,10.4404200000,48.4110540000,jettingensupercharger,150,super,Bayern
jettingensupercharger,Jettingen,0,89343,10.4404200000,48.4110540000,jettingensupercharger,150,super,Bayern
jettingensupercharger,Jettingen,0,89343,10.4404200000,48.4110540000,jettingensupercharger,150,super,Bayern
jettingensupercharger,Jettingen,0,89343,10.4404200000,48.4110540000,jettingensupercharger,150,super,Bayern
jettingensupercharger,Jettingen,0,89343,10.4404200000,48.4110540000,jettingensupercharger,150,super,Bayern
